MPC;TN;TE;TT;TN;TE;TtPNC;TN;TE;TT;TN;TE;TtMRC ;TN;TE;TO;TN;TE;MAX;TN;TE;TT;TN;TE;TtMAC;MTEA
Enero;16587;9771;26358;9679;1513;11192;504;11;515;400;44;444;568;5;573;907;36;943;6093;76;6169;4160;190;4350;7846
Febrero;12630;1057;13687;10931;679;11610;550;15;565;617;21;638;488;10;498;828;5;833;5396;107;5503;4887;176;5063;170
Marzo;7505;1447;8952;5257;623;5880;303;8;311;312;10;322;343;12;355;482;9;491;2892;100;2992;2239;132;2371;286
Abril;18250;2360;20610;16486;1788;18274;531;0;531;375;18;393;806;26;832;529;38;567;7809;189;7998;6685;179;6864;8099
Mayo;14689;4058;18747;6386;2517;8903;341;14;355;401;43;444;607;45;652;540;41;581;5903;296;6199;4841;346;5187;239
Junio;10345;4423;14768;11173;3426;14599;509;0;509;803;53;856;1057;70;1127;420;51;471;4968;330;5298;5342;418;5760;322
Julio;33118;6013;39131;30415;2717;33132;1599;34;1633;2515;41;2556;2252;99;2351;1363;58;1421;6185;13;6198;15312;294;15606;846
Agosto;30568;5777;36345;26706;4816;31522;1021;64;1085;2155;30;2185;1512;98;1610;945;61;1006;4417;44;4461;13145;502;13647;456
Septiembre;14844;5785;20629;10990;3767;14757;2796;47;2843;3812;28;3840;1771;101;1872;1383;49;1432;1745;61;1806;8219;480;8699;443
Octubre;17205;4805;22010;15557;3932;19489;2928;65;2993;2392;12;2404;710;51;761;785;39;824;8732;200;8932;9226;251;9477;8729
Noviembre;10911;3067;13978;11469;3713;15182;1696;16;1712;2710;20;2730;961;37;998;644;37;681;5809;253;6062;6976;168;7144;335
Diciembre;8164;1692;9856;11422;1624;13046;460;10;470;1017;13;1030;596;53;649;511;26;537;4393;179;4572;4852;303;5155;323
